# f, tau
2.619280776496871681e+02 4.002789152878035495e+00
2.582086836645176504e+02 5.109810956376207969e+00
2.586362332821680639e+02 4.270452995234363947e+00
2.626957969316104595e+02 4.425634157989426498e+00
2.708353932648626596e+02 4.314754482596826257e+00
2.777505601497893508e+02 4.833179526612612520e+00
2.574306980587944622e+02 5.448374572401581517e+00
2.517049694404494176e+02 3.687669229907833746e+00
2.656478091769655521e+02 4.055683405326340640e+00
2.684980215665052015e+02 5.207091511545447027e+00
2.503388135723921550e+02 3.657776011609009004e+00
2.678637327894535929e+02 3.839584184395043565e+00
2.539845311221471604e+02 4.598045473775119518e+00
2.663589300285178183e+02 5.068269315802929498e+00
2.727587663533669229e+02 3.849225179270651331e+00
2.497626441310430891e+02 4.540721889078007223e+00
2.651925976236918245e+02 4.392177950301686451e+00
2.721657084900014070e+02 4.267790368983670035e+00
2.681250987615141526e+02 4.249549887867704712e+00
2.632583306524422824e+02 4.630331191053171480e+00
2.515504859861646025e+02 3.509658536563827980e+00
2.476177469520890213e+02 3.561815829567158254e+00
2.631672642713321579e+02 4.962421009809545147e+00
2.707409689317827315e+02 3.466878409801767980e+00
2.709355104436069723e+02 3.917417385678152897e+00
2.559089692777072855e+02 3.710571283442472001e+00
2.901944761666883323e+02 4.620093694370870807e+00
2.623533654737779557e+02 3.898788361820199277e+00
2.546593083133494986e+02 4.012200889911451185e+00
2.621153251658082581e+02 4.271853873722948336e+00
2.717687654665706987e+02 3.526290003104760373e+00
2.661559475490843170e+02 3.119719877033448441e+00
2.629565778884785345e+02 5.513032609832424491e+00
2.768071136261791594e+02 4.357142907998451165e+00
2.646206460857480920e+02 3.680507030181888073e+00
2.648530810267126867e+02 4.451313413680083819e+00
2.660156738207696776e+02 3.597841313011048925e+00
2.450369597438538563e+02 4.542283080894243597e+00
2.516468708445778191e+02 4.876931820705214804e+00
2.502802370832403938e+02 3.718179910146127476e+00
2.497133877117341001e+02 3.244043841534586914e+00
2.658937092097586969e+02 4.472349674991024315e+00
2.548626388967748539e+02 5.239073781672327179e+00
2.635352546146302757e+02 4.666762018039371185e+00
2.529435124142916891e+02 4.991214673291660020e+00
2.507163263302021505e+02 4.397559995501505448e+00
2.412241129752583220e+02 4.749338762171375627e+00
2.508580217622825614e+02 4.995826279376233359e+00
2.552022951132137507e+02 5.206119645845522115e+00
2.597326220299686383e+02 4.077858185437427174e+00
2.619862449469908938e+02 4.481576268776191974e+00
2.385854508210523477e+02 4.749655865532576904e+00
2.400406565444191358e+02 4.691211121313678234e+00
2.477878937379379636e+02 4.953341949517744425e+00
2.376413171609127630e+02 5.359043119407093769e+00
2.510906274448228714e+02 5.275488453770575958e+00
2.547465359601185071e+02 5.212499365451738420e+00
2.586800154021490243e+02 5.248115727446957202e+00
2.461232773923396735e+02 3.865927359950893205e+00
2.495817602673720046e+02 4.990409773356459411e+00
2.567685103824179009e+02 4.890955495103998629e+00
2.516565237284879970e+02 5.088246181898322895e+00
2.624400226574688304e+02 5.196418002067774822e+00
2.367056275425309479e+02 4.096001584355337677e+00
2.425976133053555372e+02 4.826988084795376110e+00
2.577225849546990730e+02 3.970655580891796710e+00
2.614779443354647128e+02 5.313903299845400774e+00
2.480034940311483638e+02 4.388200033595134109e+00
2.656781668976320816e+02 4.553245625407745578e+00
2.640364038432612119e+02 4.639867593495623055e+00
2.559715104944710333e+02 3.235295194961955723e+00
2.494243263527861814e+02 3.348303729759831704e+00
2.662720207752213923e+02 3.481392563633217030e+00
2.473687399608069484e+02 4.690208914525790362e+00
2.603211882270034039e+02 5.489553722201237385e+00
2.816949342484926433e+02 4.228606333156561092e+00
2.536406268130464809e+02 4.775226497016990201e+00
2.599940108873797726e+02 4.389753297488676154e+00
2.618753701906692868e+02 3.879004804822352881e+00
2.610456236259926186e+02 4.350545048045632690e+00
2.515308941821429585e+02 4.608178690512673370e+00
2.616532696408799552e+02 3.553775492429091631e+00
2.506528853180813883e+02 4.003673492136224255e+00
2.622749308267781885e+02 5.185144353855704047e+00
2.624644762180402608e+02 3.321312582618313414e+00
2.575722681143534487e+02 3.601311128766146563e+00
2.630342749203955464e+02 4.175409471042807574e+00
2.513112382853175859e+02 4.988740647207342782e+00
2.556678399490556330e+02 4.743256506564145880e+00
2.580814907228897255e+02 4.645376918233653285e+00
2.986700412889783252e+02 3.504375328421805769e+00
2.608346633095479206e+02 4.075393067531885904e+00
2.430168898334589187e+02 5.398269354897536232e+00
2.563831960939419332e+02 4.083330536355139984e+00
2.511888860910853509e+02 3.562500331460302316e+00
2.556730043462846709e+02 3.961846862695329818e+00
2.483127920899166270e+02 5.028001307888427363e+00
2.611796613340117688e+02 4.365327946662235448e+00
2.540450519414729911e+02 4.407870551559743610e+00
2.536735149091800281e+02 3.991919949292948022e+00
2.595883239162238283e+02 4.699442039214797084e+00
2.562184399051806736e+02 5.294658747677138066e+00
2.554494675480445949e+02 4.602862588638681807e+00
2.628827196547641734e+02 4.284362990137696059e+00
2.585910195724127334e+02 5.015305316344854880e+00
2.540711160958240384e+02 4.099156385560620564e+00
2.524566124908725158e+02 4.818990710438860958e+00
2.598607773387159909e+02 3.918255671461884138e+00
2.532759072849366930e+02 4.740618248941107282e+00
2.517552101129421089e+02 4.597341612620256868e+00
2.877201955833719467e+02 4.010537026270281302e+00
2.517427600142094377e+02 4.421966853519323060e+00
2.596887308657126709e+02 4.607094594002505872e+00
2.528788028192615229e+02 4.245280085189816255e+00
2.546259409669221156e+02 3.875315600518519421e+00
2.517259978117606920e+02 5.446607986836919935e+00
2.518025320713742019e+02 4.337630444474076974e+00
2.580997758903867521e+02 4.937151888498741314e+00
2.475589629352013787e+02 4.987940954881085354e+00
2.467084368691736529e+02 5.432154845052351355e+00
2.496704396025253914e+02 4.462996613758356546e+00
2.683802709207074599e+02 3.964234526866602160e+00
2.580228512278659991e+02 4.835730108436789187e+00
2.607445741481056416e+02 4.295451807984137282e+00
2.540270341251442687e+02 4.505424220503229549e+00
2.593504738377223475e+02 3.809601023274681086e+00
2.528227450372968974e+02 3.962208381172975358e+00
2.528995421937702019e+02 5.240062273156884665e+00
2.537177985541621865e+02 4.835741508208188932e+00
2.552995910730001015e+02 4.971240412734238667e+00
2.636405269810416598e+02 4.424531424922668599e+00
2.714534480711307083e+02 3.052713091962900194e+00
2.602702434475928044e+02 4.530774944777889779e+00
2.706840831355081605e+02 5.217718783131426008e+00
2.534813386648092717e+02 4.931422092945545010e+00
2.826313480095591899e+02 4.109354710444537595e+00
2.544362161794445569e+02 3.956599799928986805e+00
2.480142995617033250e+02 3.716312160239689799e+00
2.399428219726444809e+02 5.233279337578981227e+00
2.428032643674510496e+02 4.645090688536878787e+00
2.715237797260185744e+02 2.892433034827980975e+00
2.578581874253654860e+02 3.886175482258327651e+00
2.504786187888838072e+02 5.315954103440014400e+00
2.609308518309651390e+02 4.172648363957711659e+00
2.627788896385175121e+02 4.099580859285674173e+00
2.790326743809669665e+02 4.246377246754319046e+00
2.627445745546286275e+02 5.001760886882514967e+00
2.738017205099402531e+02 4.761599536188882986e+00
2.540381836554478809e+02 4.321608936113050525e+00
2.551069610944127817e+02 4.446274125478725026e+00
2.487354671444450958e+02 5.531185251411950610e+00
2.613513702822413052e+02 5.829596007985281325e+00
2.612152601540297496e+02 4.490448205136416959e+00
2.400727304125792045e+02 5.115597370180997139e+00
2.426899466495226534e+02 4.870000477617479007e+00
2.445576064966960530e+02 4.465421345962877098e+00
2.478267442683658146e+02 4.874311867896777173e+00
2.375391708478461226e+02 5.885959740760183578e+00
2.456300311560088687e+02 4.881981363299056298e+00
2.516101787375368133e+02 4.435960710150747666e+00
2.521500892850930597e+02 3.435572397309957449e+00
2.855534360476737561e+02 3.687666688443814511e+00
2.607325292797231100e+02 3.599337362244711347e+00
2.646320702343025459e+02 4.386426369185318030e+00
2.546184837527746652e+02 4.459163130959763244e+00
2.740720519606903736e+02 4.200385829193609588e+00
2.670005300518191689e+02 4.077701838052595562e+00
2.605631087199419653e+02 4.615551281854098242e+00
2.645846525823269531e+02 4.466075514344891140e+00
2.546390273261950199e+02 4.967491859563875067e+00
2.610635797155280216e+02 4.884332404165485642e+00
2.545965051993800330e+02 3.281677944153906790e+00
2.548935357038994880e+02 4.785436831757944098e+00
2.555704799989756566e+02 5.103959980072014346e+00
2.638644991865371594e+02 4.612690873084927645e+00
2.683816347640337767e+02 4.245909585795840435e+00
2.693901892610080040e+02 4.381217427558825150e+00
2.577575861341437644e+02 5.226498539462609116e+00
2.545373068647217281e+02 5.010771945274690609e+00
2.523794344677916399e+02 4.136454423890813636e+00
2.678605265724420406e+02 5.908644400667018459e+00
2.686157486382745674e+02 4.318872995499121181e+00
2.583992013221817388e+02 4.253199641357418237e+00
2.670389637081522096e+02 4.588769332294782011e+00
2.624621182918406248e+02 4.040911996838817188e+00
2.628759680328194008e+02 4.310870479203804173e+00
2.722541943858175273e+02 3.945672667721300098e+00
2.777928652904358842e+02 3.657855430115227069e+00
2.879083384373930699e+02 4.049888190683666345e+00
2.914953129733166293e+02 4.967014810201573205e+00
2.450872559725710005e+02 4.147916684088022166e+00
2.586200233334162704e+02 4.288968522080520707e+00
2.717614770874973829e+02 4.809471624137045431e+00
2.545336424683687540e+02 4.233902151191411001e+00
2.498993153031885015e+02 5.344852363289650299e+00
2.659827490230941862e+02 3.776416624546711009e+00
2.560884121049665509e+02 5.523513419390024382e+00
2.523010003676637325e+02 4.824611315030290726e+00
2.640920874359417212e+02 4.133950958962183009e+00
2.722509325951713777e+02 4.746245676981757811e+00
2.666472266537064684e+02 4.571460135294879379e+00
2.741592460219088707e+02 3.942445092411888119e+00
2.622662476546976222e+02 5.141053272268455210e+00
2.516485359823678607e+02 4.443912656671890282e+00
2.719213763675751920e+02 3.701050395963880746e+00
2.879593007482620237e+02 4.597000463961524730e+00
2.596490070822158600e+02 4.481719514166971230e+00
2.671521454732469465e+02 3.498366340731036583e+00
2.631532274718817916e+02 4.720535599410603744e+00
2.671760863270592949e+02 4.519468843962257232e+00
2.600746281911534084e+02 5.354808533458678355e+00
2.640574903241021616e+02 4.392437837479584495e+00
2.507148266386648743e+02 3.887522659287474980e+00
2.554324131312032193e+02 4.483301184015485497e+00
2.678738769673323645e+02 4.027769774813856785e+00
2.764857997412338477e+02 3.789701942672766055e+00
2.616629794665715849e+02 4.224773709936733290e+00
2.632518342888697589e+02 4.299192537132498160e+00
2.534854568811026923e+02 4.589133596711220342e+00
2.557720288918444282e+02 4.367686524600600251e+00
2.536986332347374002e+02 3.322888706650283464e+00
2.499930256555399808e+02 4.449185180114112903e+00
2.544654627230621031e+02 3.899971245338591075e+00
2.487626752978052878e+02 5.876883432215714187e+00
2.599608430655212032e+02 4.828824954485246401e+00
2.588781315763169459e+02 4.706017803949550604e+00
2.489977548907655773e+02 4.476881832039983244e+00
2.583931280032929294e+02 4.848898419022662942e+00
2.524379239624249180e+02 5.505768544762959849e+00
2.471591060015065295e+02 4.508220807962281640e+00
2.539288003860721687e+02 4.545046295533190950e+00
2.636814223586358139e+02 4.457479085266825791e+00
2.454123125154595186e+02 4.014864466746682403e+00
2.597215685929198230e+02 4.652290725574069974e+00
2.633001098018474977e+02 5.450021787925237504e+00
2.742803049637676054e+02 4.266374180280029016e+00
2.570596636371359409e+02 5.210406047373173699e+00
2.602792000360364568e+02 4.252410128864180905e+00
2.738411690426684686e+02 3.922170933318205766e+00
2.559741681435143619e+02 5.505059283686717819e+00
2.611441126449250305e+02 4.624011051983083043e+00
2.616558454380212311e+02 4.517871672534863769e+00
2.479588591743577979e+02 4.810892101769095319e+00
2.859764991988797647e+02 3.183074134274080258e+00
2.956758185629535092e+02 3.720368019667340764e+00
2.547256309467703659e+02 4.205437570376059142e+00
2.625409291065482762e+02 5.535907366197007740e+00
2.753695315987878871e+02 4.122408932498371925e+00
2.537920327728332950e+02 4.066552862579574601e+00
2.651965072491286151e+02 3.912690436267454164e+00
2.515835797809925793e+02 3.709883085497711619e+00
2.704390141013116704e+02 3.816625607106534090e+00
2.614164571157897399e+02 5.716552948628655706e+00
2.602550199082928089e+02 5.040803089318368180e+00
2.650535057123281604e+02 4.465921299502573660e+00
2.666392926788334989e+02 4.451788024254725862e+00
2.563200937472741998e+02 5.503358640928092349e+00
2.520830906572437300e+02 5.330881923835999459e+00
2.542610235452626171e+02 5.130263830601572650e+00
2.537554407532605865e+02 4.247561063045659502e+00
2.568199772663525096e+02 4.971486632897280877e+00
2.528219423479767443e+02 4.823836831821398441e+00
2.749593893515000786e+02 3.676460622959313529e+00
2.620276721587470661e+02 4.155845597106475608e+00
2.697460590358063541e+02 4.957784397817569300e+00
2.607225100184118673e+02 5.420886026448100914e+00
2.778972056470088887e+02 3.923847627867576016e+00
2.726922118923827725e+02 3.638105222646629500e+00
3.004133756712391232e+02 3.545234178569408812e+00
2.531486906601456042e+02 5.604162371257229935e+00
2.452244955363788961e+02 4.593570594105222504e+00
2.670935090857605587e+02 4.709780851141693425e+00
2.575434135336207646e+02 4.853953430371756639e+00
2.599647437454124770e+02 4.465835281667439816e+00
2.678271903534901526e+02 4.345500512410285232e+00
2.747160822993940315e+02 4.801153993575906220e+00
2.640579222595214333e+02 4.870183901419124162e+00
2.664628597170910211e+02 4.880078657430264144e+00
2.622289467763540642e+02 4.428294984785850374e+00
2.534704071847776845e+02 5.010209690318794706e+00
2.774512890576809241e+02 4.566347352420846661e+00
2.502217430547495667e+02 4.415861038262567817e+00
2.638696919453270198e+02 4.134523630802230620e+00
2.596453020456733611e+02 4.259273597452767568e+00
2.579512671407717903e+02 4.529733884004436995e+00
2.541591597306577626e+02 5.470303185111785815e+00
2.525442696260428761e+02 5.272123154799515987e+00
2.533145293492586347e+02 5.566926925671507043e+00
2.533581006595895815e+02 4.995699432926294925e+00
2.469099835674544750e+02 4.332491547307204094e+00
2.500931719232491730e+02 3.886941781649449812e+00
2.554374475041987864e+02 4.294012874029456306e+00
2.602370128329033605e+02 4.242193957358012746e+00
2.633294782093929598e+02 3.852236650463609191e+00
2.841369809657292080e+02 4.110266587617004141e+00
2.480336755797321757e+02 4.906642389779121594e+00
2.589077300820236474e+02 5.111247141558792784e+00
2.578678460876375311e+02 5.055933808321404932e+00
2.551312995024033796e+02 4.009549609128975511e+00
2.538486794584803192e+02 5.238074680130483607e+00
2.525903702849409456e+02 5.444431233133575354e+00
2.646018612883044625e+02 4.797516414987661015e+00
2.613381165295632513e+02 5.076409560829675982e+00
2.597723684442572107e+02 3.665501166194047311e+00
2.694025885601455457e+02 4.452460874650563838e+00
2.634431304446446234e+02 4.729448976311328323e+00
2.533665682883346051e+02 5.049443560371714490e+00
2.523943114244899277e+02 5.683792047713033924e+00
2.534544071286408666e+02 4.850310436139108283e+00
2.489948267766767174e+02 4.545010861054590734e+00
2.594050034821702866e+02 3.756881987428302594e+00
2.568935052321327817e+02 4.335232932624263569e+00
2.513668290779210395e+02 4.895824967986775356e+00
2.559068876230616922e+02 4.443058609062082276e+00
2.540268261352755417e+02 4.867884655107817871e+00
2.591515400062007757e+02 5.687298838944928825e+00
2.532267554936568104e+02 4.809203974204514509e+00
2.800964554181546760e+02 4.279455106532031650e+00
2.659569319529903737e+02 5.008285652387327147e+00
2.562437900410708380e+02 4.947568775742731795e+00
2.536434735415848252e+02 5.574295800357625730e+00
2.406398436591222776e+02 5.198339340941900311e+00
2.523770139343956487e+02 3.564300655285503883e+00
2.679163240844325173e+02 4.363224456071495005e+00
2.725561781245831980e+02 3.689857532157206244e+00
2.497394429527327588e+02 4.795100245995082666e+00
2.552216229759143573e+02 4.944691488208537322e+00
2.472361733049150985e+02 4.663106099565364815e+00
2.613897168543762177e+02 4.249595471006376357e+00
2.560322983199457099e+02 4.780066888484228116e+00
2.555913628266185071e+02 4.292553224003279766e+00
2.537433117589199583e+02 4.628276772485290458e+00
2.606376534461018082e+02 5.339623402843201916e+00
2.711253976532639740e+02 3.684212874517592162e+00
2.416454858008280553e+02 3.850746177101569412e+00
2.515149162734189190e+02 4.866565974279963847e+00
2.563853212462914257e+02 3.954210262715356805e+00
2.794414737559282571e+02 3.664212172756115216e+00
2.567859736639259154e+02 4.620898775364026712e+00
2.562979888011458343e+02 5.000753413721208851e+00
2.615137908240523643e+02 4.941960510955368591e+00
2.816627387933963291e+02 3.469572238961137867e+00
2.563486886033514338e+02 5.019519711793490657e+00
2.562590893428239269e+02 4.447313562979526402e+00
2.654144255108651009e+02 4.316983722031564774e+00
2.485237406877733690e+02 4.565262871545186840e+00
2.570396727764876914e+02 5.549424640161625177e+00
2.580353370896540923e+02 5.102092869114298601e+00
2.547807581007458566e+02 5.306123273894581160e+00
2.556586976042219135e+02 4.887144625073155169e+00
2.567967296575202454e+02 5.380041833199507906e+00
2.546764322738548287e+02 4.196378715015417704e+00
2.631374799276790668e+02 4.889513199095952167e+00
2.779845529366203891e+02 4.155337714603438037e+00
2.744278673008598162e+02 4.342516511166395254e+00
2.591877148288458557e+02 5.761218610624110781e+00
2.472952020395159423e+02 5.394634357482705589e+00
2.505048086137260839e+02 4.431503813918630463e+00
2.505647530138503214e+02 4.799315562917762179e+00
2.469237893365743162e+02 4.625533696107482662e+00
2.516912369484898306e+02 3.499585588649988921e+00
2.645155370434015367e+02 4.302940793313980272e+00
2.392750671397256497e+02 4.179924101046655238e+00
2.486076678048169413e+02 5.479611597359460795e+00
2.535924746678953738e+02 3.248870030174593637e+00
2.687311638041109063e+02 4.581584371033165404e+00
2.595586893316984742e+02 4.297942241700487109e+00
2.735018793131479811e+02 3.659624046468285208e+00
2.671260154435575487e+02 4.570294731352595008e+00
2.645022194886980742e+02 3.391433134983538711e+00
2.578794805256756035e+02 4.107458260353801904e+00
2.612454392590738621e+02 4.340557044614657300e+00
2.563259922638540615e+02 4.332725897618169064e+00
2.561626438874157543e+02 5.103000246046660138e+00
2.648854593823394339e+02 4.534214426987500879e+00
2.742425509857429233e+02 3.769458479491745617e+00
2.724929114146261782e+02 3.035146425648923341e+00
2.601488436867419409e+02 3.841311090804965467e+00
2.691318059971605408e+02 4.668212129702660640e+00
2.731132557961830685e+02 3.623926325181887176e+00
2.560075663584833592e+02 4.789673193045481447e+00
2.521247158444389527e+02 4.334952846525237824e+00
2.578702392921684350e+02 5.240441594862896402e+00
2.509942219216007970e+02 4.870964194773893752e+00
2.577374483171102497e+02 5.502579374439089399e+00
2.651552788858205645e+02 4.256856333714377882e+00
2.551522498487875907e+02 4.427470326983454996e+00
2.588695122738618011e+02 3.548004949167109512e+00
2.650452417930910656e+02 5.241213582800296145e+00
2.591846114126125826e+02 4.202961636493981246e+00
2.527609183358823088e+02 4.473323527955905377e+00
2.574011379065536289e+02 3.654415773999632577e+00
2.565252483539305786e+02 3.051408270978824611e+00
2.701345518797596128e+02 5.341166039268272492e+00
2.610846327707178034e+02 4.762030390771961663e+00
2.905258578518882473e+02 4.077725177119329025e+00
2.645115579604734535e+02 3.555288262522773746e+00
2.407987636859651843e+02 3.805016153938190371e+00
2.575578429904666677e+02 5.223139798942707301e+00
2.513973058177263056e+02 4.346485700514845618e+00
2.530495688341781317e+02 4.210191482183419431e+00
2.568801917230128993e+02 4.191903441145940157e+00
2.452555519773525248e+02 4.534919260674264763e+00
2.624865695810216266e+02 3.964894390090130560e+00
2.500811098300658557e+02 4.470664221168405561e+00
2.655420119702031343e+02 3.970456864399356522e+00
2.602898193723823965e+02 3.916702551985066449e+00
2.639791827444461774e+02 4.466711875837166446e+00
2.680950626408930475e+02 4.125558943089026265e+00
2.830124236992492683e+02 3.291317043284150756e+00
2.951447682901595044e+02 3.725778339715045462e+00
2.623179041007622914e+02 5.139853991980486647e+00
2.537837046349014258e+02 4.681323467918415027e+00
2.472312848469267408e+02 5.415764775762564653e+00
2.560357053716799669e+02 4.563851347001596004e+00
2.488076378588342266e+02 4.888746953234312187e+00
2.641932272238461792e+02 3.829462371941548149e+00
2.593871615821589671e+02 3.822393743801025146e+00
2.566993065108731571e+02 3.962302869896943580e+00
2.801918182599717397e+02 3.475064344998807453e+00
2.590986075417952748e+02 4.370549583241515990e+00
2.530898976106229838e+02 4.779869157405089553e+00
2.559500489625233399e+02 3.952899721756661489e+00
2.480229207673968688e+02 5.491024475497117585e+00
2.435962538836366775e+02 4.209218397680632329e+00
2.513921729393501607e+02 5.026758077463965968e+00
2.715081504567821753e+02 4.774643954299182091e+00
2.558467189995625688e+02 4.645454750353870566e+00
2.649337954434367930e+02 4.168336621993027791e+00
2.697307129739746188e+02 4.430850693235429461e+00
2.679267165919568470e+02 3.981131528564147981e+00
2.530873027654163252e+02 4.266671163587125726e+00
2.668102853221124064e+02 5.244936518759726773e+00
2.619679975083251975e+02 5.239096917035428902e+00
2.573025518872120188e+02 4.630758817423457074e+00
2.528571762326136252e+02 3.649992126787261260e+00
2.546969246311611812e+02 4.594071286967937873e+00
2.632641242692286028e+02 4.783320757032132775e+00
2.520029020678277334e+02 4.839440072202735088e+00
2.523124187174923918e+02 4.663731761160019751e+00
2.619817277104329492e+02 4.310381095800158491e+00
2.611126955233286822e+02 3.534838386004587996e+00
2.478817246133289132e+02 6.188772640543500181e+00
2.576348532225239296e+02 4.445069500587433886e+00
2.545442594388198927e+02 4.452421554174232909e+00
2.651069098544887197e+02 4.560526855812540248e+00
2.584414209873624486e+02 5.196767831332890886e+00
2.484301432493642778e+02 4.479889383106758771e+00
2.630508816885011356e+02 4.805188228096514358e+00
2.784793012791504907e+02 3.986051878688132710e+00
2.511592539344129307e+02 4.971074683363061020e+00
2.669871396863678115e+02 4.068646946105849871e+00
2.581972111467234754e+02 4.887808458557626246e+00
2.643546476464490524e+02 3.807843826872441273e+00
2.590145362753120253e+02 3.894315873130631100e+00
2.547690145561905126e+02 5.801677096155684055e+00
2.679762810339765906e+02 3.876381727340963756e+00
2.571483029558946782e+02 4.420040272063388009e+00
2.687097584583188450e+02 3.743395151128218856e+00
2.495867879961577387e+02 4.428648516279332092e+00
2.547480490538868878e+02 4.664896694506214914e+00
2.615876380778576049e+02 4.413414244117376484e+00
2.467318276881816530e+02 3.311719156999445524e+00
2.684567406608135798e+02 4.034468867858396202e+00
2.625536806453833378e+02 3.924125883784435054e+00
2.563479254600588888e+02 5.037136803604707502e+00
2.550224068329896454e+02 4.376443821067258710e+00
2.554249851686466570e+02 3.892344207419698332e+00
2.435138711633552475e+02 4.019632987942560298e+00
2.545883265964732232e+02 5.194752372689309006e+00
2.583541918142789768e+02 4.698644433596082415e+00
2.513635675827527507e+02 4.377949302201822768e+00
2.560377628034615896e+02 5.012048608183975240e+00
2.648561616008185524e+02 4.115352145893252711e+00
2.574927757126666279e+02 4.715470660410999493e+00
2.477979041632998474e+02 5.019199386949932951e+00
2.524780514003284395e+02 4.505180126463755208e+00
2.740541814184223881e+02 3.824121187698921176e+00
2.786494218350227925e+02 5.286020707096096061e+00
2.476400383892886623e+02 4.235975089208939615e+00
2.648291516568029920e+02 5.729367113078526863e+00
2.575645083681767460e+02 3.561343040831627338e+00
2.526397128855058725e+02 4.517626688404049240e+00
2.617042184903189082e+02 4.598018465670370425e+00
2.557577663593443162e+02 4.285057569583993420e+00
2.860345655258292936e+02 3.206650539608723705e+00
2.619125336266022259e+02 3.951596014664833678e+00
2.556056548309777554e+02 5.114416093636299010e+00
2.724997548434236592e+02 3.306840459699451618e+00
2.555491054512187077e+02 4.263730946598229821e+00
2.652670689058464859e+02 4.175934396849920738e+00
2.456559034495673473e+02 4.245560664460561462e+00
2.588923706130638607e+02 6.105731733867194144e+00
2.849513819703149693e+02 3.521258436521592650e+00
2.566149191180616640e+02 5.327935785695078863e+00
2.630146168487119667e+02 4.176418016023466961e+00
2.664557859084257530e+02 4.434662069783705363e+00
2.679905588633371281e+02 4.782177474425779451e+00
2.585709178467605511e+02 4.604713018508389766e+00
2.685994491032753899e+02 5.109355140331516054e+00
2.484195254275354046e+02 4.537656879052126335e+00
2.557328414699663881e+02 4.918044067768425620e+00
2.547646443971098336e+02 3.882040816860905519e+00
2.448198182156364453e+02 3.954879605187819003e+00
2.529833385749500962e+02 3.998899620655772758e+00
2.763832687761781699e+02 3.925670207805901146e+00
2.581215185622481840e+02 6.032515675649165132e+00
2.605606265349128989e+02 4.044863796898546582e+00
2.610616274095855260e+02 3.708485118396507740e+00
2.683108578877316290e+02 3.530364002252481370e+00
2.592750162228869613e+02 5.206343584752390008e+00
2.693687547202259793e+02 5.018917419342660224e+00
2.790220366590114622e+02 3.981343365253624089e+00
2.665426935385316369e+02 4.144543400638233344e+00
2.602248866176797151e+02 3.594638632008626988e+00
2.659161509063330300e+02 5.038425615213560249e+00
2.686011107100941899e+02 4.646785397997207134e+00
2.692876305216097990e+02 3.971797528495918161e+00
3.026025696124212914e+02 4.299155909472074377e+00
2.548304645090603913e+02 3.967676034479625802e+00
2.639320591476904383e+02 4.830020090930535304e+00
2.695706607382173843e+02 4.849076519093364901e+00
2.662955602581222365e+02 4.897235602381815767e+00
2.525047849902313715e+02 3.773947166508615947e+00
2.541201695317218139e+02 4.481478263578541288e+00
2.563180328410520588e+02 5.307778325353007531e+00
2.497076117346349236e+02 5.705999655471113208e+00
2.632234871974490602e+02 4.883624624826652827e+00
2.628262883990130945e+02 3.943838364360943149e+00
2.719548434603653959e+02 4.444159730684575038e+00
2.824274765036783492e+02 4.556483479316662866e+00
